60 category pages to visit
  sale north-riyadh-king-fahd                    32 items,  32 new, total    32 (2.0s)
  sale north-riyadh-al-nuzha                     32 items,  32 new, total    64 (0.6s)
  sale north-riyadh-al-nafel                     22 items,  22 new, total    86 (0.8s)
  sale north-riyadh-al-rabie                     18 items,  17 new, total   103 (0.8s)
  sale north-riyadh-al-ghadeer                    9 items,   8 new, total   111 (0.7s)
  sale north-riyadh-hitteen                      32 items,  31 new, total   142 (0.8s)
  rent north-riyadh-king-fahd                     7 items,   7 new, total   149 (0.8s)
  rent north-riyadh-al-nuzha                     32 items,  32 new, total   181 (0.6s)
  rent north-riyadh-al-nafel                     32 items,  32 new, total   213 (0.8s)
  rent north-riyadh-al-rabie                     29 items,  29 new, total   242 (1.0s)
  rent north-riyadh-al-ghadeer                    6 items,   6 new, total   248 (0.9s)
  rent north-riyadh-hitteen                      32 items,  32 new, total   280 (0.9s)
  sale south-riyadh-2nd-industrial-city           0 items,   0 new, total   280 (0.6s)
  sale south-riyadh-ohod                         25 items,  25 new, total   305 (1.0s)
  sale south-riyadh-okaz                         32 items,  32 new, total   337 (0.7s)
  sale south-riyadh-taybah                       32 items,  32 new, total   369 (1.1s)
  sale south-riyadh-al-ammajiyah                 32 items,  32 new, total   401 (0.7s)
  sale south-riyadh-oraid                        32 items,  32 new, total   433 (0.7s)
  rent south-riyadh-2nd-industrial-city           1 items,   1 new, total   434 (0.8s)
  rent south-riyadh-al-manakh                     7 items,   7 new, total   441 (0.8s)
  rent south-riyadh-al-shifa                      9 items,   9 new, total   450 (0.8s)
  rent south-riyadh-okaz                         32 items,  32 new, total   482 (1.0s)
  rent south-riyadh-al-bariyah                    2 items,   2 new, total   484 (0.9s)
  rent south-riyadh-mansuriyah                    1 items,   1 new, total   485 (1.0s)
  sale east-riyadh-al-marjan                     32 items,  31 new, total   516 (0.9s)
  sale east-riyadh-al-qadisiyah                  32 items,  32 new, total   548 (0.9s)
  sale east-riyadh-al-rawdah                     32 items,  32 new, total   580 (0.9s)
  sale east-riyadh-al-munisiyah                  32 items,  31 new, total   611 (0.7s)
  sale east-riyadh-al-rayah                       1 items,   1 new, total   612 (0.8s)
  sale east-riyadh-al-wasam                      29 items,  29 new, total   641 (0.7s)
  rent east-riyadh-al-marjan                      6 items,   6 new, total   647 (0.8s)
  rent east-riyadh-al-khaleej                    32 items,  32 new, total   679 (0.9s)
  rent east-riyadh-al-quds                       32 items,  32 new, total   711 (0.9s)
  rent east-riyadh-al-nadheem                     6 items,   6 new, total   717 (0.8s)
  rent east-riyadh-west-naseem                   13 items,  13 new, total   730 (0.8s)
  rent east-riyadh-qurtubah                      32 items,  32 new, total   762 (1.0s)
  sale west-riyadh-al-fakhiriyah                  1 items,   1 new, total   763 (0.8s)
  sale west-riyadh-al-rafeah                      4 items,   3 new, total   766 (0.8s)
  sale west-riyadh-namar                         11 items,  11 new, total   777 (0.6s)
  sale west-riyadh-al-duraihemiyah               27 items,  27 new, total   804 (0.9s)
  sale west-riyadh-west-oraija                   32 items,  32 new, total   836 (0.7s)
  sale west-riyadh-al-mahdiyah                   32 items,  32 new, total   868 (0.9s)
  rent west-riyadh-al-fakhiriyah                  1 items,   1 new, total   869 (0.8s)
  rent west-riyadh-al-rafeah                      8 items,   8 new, total   877 (0.6s)
  rent west-riyadh-dirab                         27 items,  27 new, total   904 (0.9s)
  rent west-riyadh-sultanah                       2 items,   2 new, total   906 (0.8s)
  rent west-riyadh-dahiyat-namar                 32 items,  32 new, total   938 (0.7s)
  rent west-riyadh-middle-oraija                  6 items,   6 new, total   944 (0.8s)
  sale central-riyadh-Manfuha-al-jadidah         10 items,  10 new, total   954 (0.9s)
  sale central-riyadh-ghobairah                   5 items,   5 new, total   959 (2.1s)
  sale central-riyadh-al-khalidiyah               2 items,   2 new, total   961 (0.6s)
  sale central-riyadh-al-malaz                   27 items,  27 new, total   988 (0.8s)
  sale central-riyadh-al-sulaimaniyah            19 items,  19 new, total  1007 (0.9s)
  sale central-riyadh-al-shumaisi                 4 items,   4 new, total  1011 (2.1s)
  rent central-riyadh-al-amal                     2 items,   2 new, total  1013 (0.7s)
  rent central-riyadh-al-murabba                 14 items,  14 new, total  1027 (1.0s)
  rent central-riyadh-al-faisaliyah               4 items,   4 new, total  1031 (0.6s)
  rent central-riyadh-al-malaz                   31 items,  31 new, total  1062 (1.1s)
  rent central-riyadh-al-sulaimaniyah            32 items,  32 new, total  1094 (1.0s)
  rent central-riyadh-al-shumaisi                 2 items,   2 new, total  1096 (0.6s)
saved 2492 listings -> C:\Users\sparrow\Desktop\durglobal-chatbot\data\raw\wasalt_listings.json
saved 37 city guides -> C:\Users\sparrow\Desktop\durglobal-chatbot\data\raw\wasalt_city_guides.json
